title,location,date,url,id
Data analyst – infectious disease mapping,Athens,16 Jun,https://www.r-users.com/jobs/data-analyst-infectious-disease-mapping/,https://www.r-users.com/jobs/data-analyst-infectious-disease-mapping/16 Jun
Kenya Product Innovations Analyst,Kakamega,14 Jun,https://www.r-users.com/jobs/kenya-product-innovations-analyst/,https://www.r-users.com/jobs/kenya-product-innovations-analyst/14 Jun
Software Developer,Jinja,8 Jun,https://www.r-users.com/jobs/software-developer-2/,https://www.r-users.com/jobs/software-developer-2/8 Jun
Senior Data Scientist,Anywhere,5 Jun,https://www.r-users.com/jobs/senior-data-scientist-6/,https://www.r-users.com/jobs/senior-data-scientist-6/5 Jun
"Manager, Statistical Consulting & Data Science",Burbank,5 Jun,https://www.r-users.com/jobs/manager-statistical-consulting-data-science/,https://www.r-users.com/jobs/manager-statistical-consulting-data-science/5 Jun
Financial Controller,Anywhere,5 Jun,https://www.r-users.com/jobs/financial-controller/,https://www.r-users.com/jobs/financial-controller/5 Jun
Data Scientist / Analytics Consultant,Antwerpen,18 May,https://www.r-users.com/jobs/data-scientist-analytics-consultant/,https://www.r-users.com/jobs/data-scientist-analytics-consultant/18 May
"BIOSTATISTICIAN II @ Los Angeles, California",Los Angeles,21 Jun,https://www.r-users.com/jobs/biostatistician-ii-los-angeles-california/,https://www.r-users.com/jobs/biostatistician-ii-los-angeles-california/21 Jun
"Data Scientist – Machine Vision @ Cleveland, Ohio",Cleveland,21 Jun,https://www.r-users.com/jobs/data-scientist-machine-vision-cleveland-ohio/,https://www.r-users.com/jobs/data-scientist-machine-vision-cleveland-ohio/21 Jun
Data analyst – infectious disease mapping,Athens,16 Jun,https://www.r-users.com/jobs/data-analyst-infectious-disease-mapping/,https://www.r-users.com/jobs/data-analyst-infectious-disease-mapping/16 Jun
Kenya Product Innovations Analyst,Kakamega,14 Jun,https://www.r-users.com/jobs/kenya-product-innovations-analyst/,https://www.r-users.com/jobs/kenya-product-innovations-analyst/14 Jun
Development of HFT system,Anywhere,13 Jun,https://www.r-users.com/jobs/development-of-hft-system/,https://www.r-users.com/jobs/development-of-hft-system/13 Jun
"Research and Statistical Analyst – Housing @ London, England, U.K.",London,8 Jun,https://www.r-users.com/jobs/research-and-statistical-analyst-housing-london-england-u-k/,https://www.r-users.com/jobs/research-and-statistical-analyst-housing-london-england-u-k/8 Jun
"Data Scientist @ Garching bei München, Bayern, Germany",Garching bei München,8 Jun,https://www.r-users.com/jobs/data-scientist-garching-bei-munchen-bayern-germany/,https://www.r-users.com/jobs/data-scientist-garching-bei-munchen-bayern-germany/8 Jun
Software Developer,Jinja,8 Jun,https://www.r-users.com/jobs/software-developer-2/,https://www.r-users.com/jobs/software-developer-2/8 Jun
"Senior Quantitative Analyst, Data Scientist",Center District,7 Jun,https://www.r-users.com/jobs/senior-quantitative-analyst-data-scientist/,https://www.r-users.com/jobs/senior-quantitative-analyst-data-scientist/7 Jun
R data wrangler,Anywhere,6 Jun,https://www.r-users.com/jobs/r-data-wrangler/,https://www.r-users.com/jobs/r-data-wrangler/6 Jun
Senior Data Scientist,Anywhere,5 Jun,https://www.r-users.com/jobs/senior-data-scientist-6/,https://www.r-users.com/jobs/senior-data-scientist-6/5 Jun
"Manager, Statistical Consulting & Data Science",Burbank,5 Jun,https://www.r-users.com/jobs/manager-statistical-consulting-data-science/,https://www.r-users.com/jobs/manager-statistical-consulting-data-science/5 Jun
Financial Controller,Anywhere,5 Jun,https://www.r-users.com/jobs/financial-controller/,https://www.r-users.com/jobs/financial-controller/5 Jun
Author Books on R for Packt Publishing,Anywhere,1 Jun,https://www.r-users.com/jobs/author-books-on-r-for-packt-publishing/,https://www.r-users.com/jobs/author-books-on-r-for-packt-publishing/1 Jun
Software Engineer in Test for RStudio,Anywhere,30 May,https://www.r-users.com/jobs/software-engineer-in-test-for-rstudio/,https://www.r-users.com/jobs/software-engineer-in-test-for-rstudio/30 May
Phd opportunity @ Barcelona / Moorepark,Anywhere,25 May,https://www.r-users.com/jobs/phd-opportunity-barcelona-moorepark/,https://www.r-users.com/jobs/phd-opportunity-barcelona-moorepark/25 May
"Research Software Engineer @ Bailrigg, England",Bailrigg,24 May,https://www.r-users.com/jobs/research-software-engineer-bailrigg-england/,https://www.r-users.com/jobs/research-software-engineer-bailrigg-england/24 May
"Senior Data Scientist @ Minneapolis, Minnesota, U.S.",Minneapolis,23 May,https://www.r-users.com/jobs/senior-data-scientist-minneapolis-minnesota-u-s/,https://www.r-users.com/jobs/senior-data-scientist-minneapolis-minnesota-u-s/23 May
Big Data Discovery Automation in Digital Health (5-10 hours per week),Anywhere,22 May,https://www.r-users.com/jobs/big-data-discovery-automation-in-digital-health-5-10-hours-per-week/,https://www.r-users.com/jobs/big-data-discovery-automation-in-digital-health-5-10-hours-per-week/22 May
Data Scientist / Analytics Consultant,Antwerpen,18 May,https://www.r-users.com/jobs/data-scientist-analytics-consultant/,https://www.r-users.com/jobs/data-scientist-analytics-consultant/18 May
"Data Scientists for ArcelorMittal @ Avilés, Principado de Asturias, Spain",Avilés,12 May,https://www.r-users.com/jobs/data-scientists-for-arcelormittal-aviles-principado-de-asturias-spain/,https://www.r-users.com/jobs/data-scientists-for-arcelormittal-aviles-principado-de-asturias-spain/12 May
